cell_id	disease	study_id	donor_id	is_transition	entropy	transition_potential	fpi	is_transition_label
Cell000061	normal	Study01	Donor003	FALSE	0.615259562423557	0.396825163180192	1.01208472560375	Other cells
Cell000062	normal	Study01	Donor003	FALSE	0.499798261539952	0.440054658574041	0.939852920113993	Other cells
Cell000063	normal	Study01	Donor003	FALSE	0.619049966888976	0.396658157589208	1.01570812447818	Other cells
Cell000064	normal	Study01	Donor003	FALSE	0.490601473675796	0.445058720238408	0.935660193914203	Other cells
Cell000065	normal	Study01	Donor003	FALSE	0.627002742763899	0.38510319495763	1.01210593772153	Other cells
Cell000066	normal	Study01	Donor003	FALSE	0.628751437546709	0.391626505313279	1.02037794285999	Other cells
Cell000067	normal	Study01	Donor003	FALSE	0.643228426739304	0.378092529012604	1.02132095575191	Other cells
Cell000068	normal	Study01	Donor003	FALSE	0.584528466331843	0.40978047674791	0.994308943079753	Other cells
Cell000069	normal	Study01	Donor003	FALSE	0.472841030856098	0.448899123019075	0.921740153875173	Other cells
Cell000070	normal	Study01	Donor003	FALSE	0.420269513317884	0.469074694220327	0.889344207538211	Other cells
Cell000071	normal	Study01	Donor003	FALSE	0.522823384277215	0.433119761955656	0.955943146232872	Other cells
Cell000072	normal	Study01	Donor003	FALSE	0.418904122774234	0.469123186555185	0.888027309329419	Other cells
Cell000073	normal	Study01	Donor003	FALSE	0.852551807591683	0.275933539598532	1.12848534719022	Other cells
Cell000074	normal	Study01	Donor003	FALSE	0.586129894111566	0.405840666995532	0.991970561107098	Other cells
Cell000075	normal	Study01	Donor003	FALSE	0.473227455333705	0.4489303724285	0.922157827762205	Other cells
Cell000076	normal	Study01	Donor003	FALSE	0.742248316667021	0.339020619568056	1.08126893623508	Other cells
Cell000077	normal	Study01	Donor003	FALSE	0.479996646628898	0.446535369933326	0.926532016562224	Other cells
Cell000078	normal	Study01	Donor003	FALSE	0.277120752497898	0.50918691116012	0.786307663658018	Other cells
Cell000079	normal	Study01	Donor003	FALSE	0.650372780899784	0.377164300165724	1.02753708106551	Other cells
Cell000080	normal	Study01	Donor003	FALSE	0.63714828274307	0.388140689454929	1.025288972198	Other cells
Cell000081	normal	Study01	Donor003	FALSE	0.57835201118357	0.411326185377798	0.989678196561368	Other cells
Cell000082	normal	Study01	Donor003	FALSE	0.483177590397886	0.444443499837272	0.927621090235158	Other cells
Cell000083	normal	Study01	Donor003	FALSE	0.445977380734716	0.459381006199801	0.905358386934517	Other cells
Cell000084	normal	Study01	Donor003	FALSE	0.691541841437115	0.364284988724905	1.05582683016202	Other cells
Cell000085	normal	Study01	Donor003	FALSE	0.483181481205576	0.448218216174506	0.931399697380082	Other cells
Cell000086	normal	Study01	Donor003	TRUE	0.730615966877849	0.204111356770085	0.934727323647934	Rare transition
Cell000087	normal	Study01	Donor003	FALSE	0.429393693176149	0.46441676175691	0.89381045493306	Other cells
Cell000088	normal	Study01	Donor003	FALSE	0.530116733825952	0.430757659953399	0.960874393779352	Other cells
Cell000089	normal	Study01	Donor003	FALSE	0.559604877612182	0.41204174230423	0.971646619916413	Other cells
Cell000090	normal	Study01	Donor003	FALSE	0.525398378677029	0.430123989959127	0.955522368636157	Other cells
Cell000091	disease	Study02	Donor004	FALSE	0.777405913738586	0.0738810614732826	0.851286975211869	Other cells
Cell000092	disease	Study02	Donor004	FALSE	0.783335888081779	0.0761421980982525	0.859478086180031	Other cells
Cell000093	disease	Study02	Donor004	FALSE	0.818329502109129	0.082721328253114	0.901050830362243	Other cells
Cell000094	disease	Study02	Donor004	FALSE	0.725900826552588	0.0240330422077514	0.749933868760339	Other cells
Cell000095	disease	Study02	Donor004	FALSE	0.783498159320946	0.11788290106416	0.901381060385105	Other cells
Cell000096	disease	Study02	Donor004	FALSE	0.846620205028428	0.0807940802417862	0.927414285270215	Other cells
Cell000097	disease	Study02	Donor004	FALSE	0.731928110462284	0.0453756764452976	0.777303786907582	Other cells
Cell000098	disease	Study02	Donor004	FALSE	0.817790909130112	0.0510930928339822	0.868884001964094	Other cells
Cell000099	disease	Study02	Donor004	FALSE	0.76424078413507	0.044179312467797	0.808420096602867	Other cells
Cell000100	disease	Study02	Donor004	FALSE	0.875094587500383	0.100051330886657	0.97514591838704	Other cells
Cell000101	disease	Study02	Donor004	FALSE	0.824728358587735	0.0770118403493581	0.901740198937093	Other cells
