sample_id	state	mean	sd	lower	upper	state_label
Donor001	resident	0.156437471443897	0.0287126691099283	0.119298640691604	0.189343620187222	Resident
Donor001	inflammatory	0.184272572112079	0.034443728498804	0.146613814260104	0.233577189549103	Inflamm.
Donor001	myofibroblast	0.117679340020803	0.021902735134986	0.0947338069783289	0.152087038139334	MyoFB
Donor001	ECM-remodeling	0.235047734385425	0.0232624853947582	0.201325188577321	0.262433798823106	ECM
Donor001	antigen-presenting	0.133763599544617	0.0262768018270751	0.0991771993276213	0.165029615373772	AP
Donor001	IFN-stress	0.172799282493178	0.055396916193341	0.107283621248808	0.256145743229197	IFN
Donor002	resident	0.214936913513645	0.0419910184989709	0.152206171028374	0.262596684417403	Resident
Donor002	inflammatory	0.178694616385634	0.0183548869557149	0.150781935110158	0.194417273900795	Inflamm.
Donor002	myofibroblast	0.181749646957908	0.0162828895955348	0.153696482077663	0.192989223566579	MyoFB
Donor002	ECM-remodeling	0.126106139693858	0.0270187819294323	0.0873180916162089	0.159132687394654	ECM
Donor002	antigen-presenting	0.158220528528692	0.0535075736205564	0.0905566053091382	0.226627169626925	AP
Donor002	IFN-stress	0.140292154920264	0.0462213290573317	0.0864055633590109	0.207726561284551	IFN
Donor003	resident	0.0706709743142149	0.010385434671172	0.0557172947674438	0.0804963378747276	Resident
Donor003	inflammatory	0.216222097984615	0.03754589597713	0.170725547055178	0.266707677849163	Inflamm.
Donor003	myofibroblast	0.226707840262626	0.0432894007564597	0.183947956910414	0.293964323413241	MyoFB
Donor003	ECM-remodeling	0.200213438972221	0.0446397744903836	0.154001571779322	0.255965354468414	ECM
Donor003	antigen-presenting	0.125025323254122	0.0111044273883225	0.112704961491107	0.139858422663807	AP
Donor003	IFN-stress	0.161160325212201	0.018482649171576	0.13367730808884	0.183176455172247	IFN
Donor004	resident	0.118441869683135	0.0308032697559165	0.0820904614935152	0.162447878786515	Resident
Donor004	inflammatory	0.261461051639903	0.0472826341875121	0.204130337993954	0.329441213892684	Inflamm.
Donor004	myofibroblast	0.23002034213113	0.0531689572644686	0.160637774007444	0.275008345651216	MyoFB
Donor004	ECM-remodeling	0.214536850102602	0.055678026245755	0.140731969542873	0.290359795402125	ECM
Donor004	antigen-presenting	0.0547859335356694	0.007395319638158	0.0458660466141489	0.0651653665357926	AP
Donor004	IFN-stress	0.120753952907562	0.0307527913131438	0.0805926067255106	0.160623879775955	IFN
