cell_id	interval_width	mean_entropy	entropy_width
Cell000001	0.172552766315693	1.12912311016581	0.340297427986112
Cell000002	0.183206674291454	1.32901795032516	0.2116191125397
Cell000003	0.121540093956124	1.39204732218767	0.14821325961695
Cell000004	0.140403777565441	1.29536668989134	0.347771892699
Cell000005	0.145217861935311	1.23051376680688	0.29020591737301
Cell000006	0.143296930268603	0.97476147972176	0.18271652865591
Cell000007	0.150683145057988	1.1328756082305	0.488390934733904
Cell000008	0.177030563124161	1.45006040600333	0.34676389245883
Cell000009	0.16962103836137	1.50293536052088	0.20242164861089
Cell000010	0.172197353693819	1.46193994288728	0.22856812545087
Cell000011	0.194009192338353	1.57785812300637	0.23557328562551
Cell000012	0.134106543521247	1.33815709330349	0.19781735990968
Cell000013	0.149985593437237	1.3208620758641	0.26780397654156
Cell000014	0.214014750942253	1.50062640301801	0.2311148833206
Cell000015	0.163933484610944	1.2509152657848	0.28606626685661
Cell000016	0.178358171171324	1.46659479558806	0.23157570049389
Cell000017	0.180934150523957	1.42298665954706	0.26680899546504
Cell000018	0.161709451308298	1.32090181761864	0.22708208533768
Cell000019	0.162454485250903	1.21222661389761	0.26260219410708
Cell000020	0.195984760939944	1.31551129076041	0.23708160482385
Cell000021	0.150302297854143	1.38429077278459	0.19282548971571
Cell000022	0.178208985056478	1.38968668824411	0.3781849733715
Cell000023	0.156241859903865	1.46507506218937	0.24637561982157
Cell000024	0.147001551392516	1.19567922558168	0.30605124156087
Cell000025	0.159628795150734	1.36546972664804	0.52892716472194
Cell000026	0.171999212703689	1.71358320414277	0.14455733095666
Cell000027	0.149291528635187	1.3446294220763	0.41050944076735
Cell000028	0.168286329042935	1.29028461084311	0.17935263907337
Cell000029	0.153253802142183	1.57323353940486	0.21787253138445
Cell000030	0.184403916826076	1.32370187158999	0.17279615470286
Cell000031	0.159857339633181	1.41535848545697	0.29326518232695
Cell000032	0.143025229881488	1.35879814858954	0.13753330122908
