state	interval_width
antigen-presenting	0.0822503711894345
ECM-remodeling	0.102696818426455
IFN-stress	0.0812163817143797
inflammatory	0.0862939587555736
myofibroblast	0.0830318571939831
resident	0.0953603107435853
