file	exists	bytes	width	height
figure1.pdf	TRUE	6728	NA	NA
figure1.svg	TRUE	20111	NA	NA
figure1.png	TRUE	247587	5280	2520
figure1.tiff	TRUE	520306	5280	2520
contact_sheet.png	TRUE	248001	5280	2520
