state	disease	normal	delta_disease_minus_normal
resident	0.063477407388936	0.454280971945824	-0.390803564556888
inflammatory	0.0181176511298312	0.231926264301516	-0.213808613171685
IFN-stress	0.0598370952163034	0.128023065040928	-0.0681859698246246
antigen-presenting	0.00937016133945169	0.0611918331436957	-0.051821671804244
myofibroblast	0.260297058941052	0.0363943766840305	0.223902682257021
ECM-remodeling	0.588900625984426	0.0881834888840057	0.50071713710042
