cell_id	condition	condition_label	metric	value
Cell000128	normal	Normal	FPI	1.02096375662485
Cell000129	normal	Normal	FPI	1.10667096082925
Cell000130	normal	Normal	FPI	1.10047893087536
Cell000131	normal	Normal	FPI	1.10395183154744
Cell000132	normal	Normal	FPI	0.945959450967757
Cell000133	normal	Normal	FPI	0.982482068085029
Cell000134	normal	Normal	FPI	0.991920180932207
Cell000135	normal	Normal	FPI	1.01488190765607
Cell000136	normal	Normal	FPI	1.00998165398579
Cell000137	normal	Normal	FPI	1.0002502147676
Cell000138	normal	Normal	FPI	1.0050496466758
Cell000139	normal	Normal	FPI	1.10084499253181
Cell000140	normal	Normal	FPI	1.02811088174432
Cell000141	normal	Normal	FPI	1.09030855505351
Cell000142	normal	Normal	FPI	1.02645800345167
Cell000143	normal	Normal	FPI	0.851472954446774
Cell000144	normal	Normal	FPI	0.975074181458243
Cell000145	normal	Normal	FPI	1.07155436650886
Cell000146	normal	Normal	FPI	1.02026170577129
Cell000147	normal	Normal	FPI	0.993697218566092
Cell000148	normal	Normal	FPI	0.870731481659926
Cell000149	normal	Normal	FPI	0.934727323647934
Cell000150	normal	Normal	FPI	1.02557933307051
Cell000151	disease	Disease	FPI	0.876432891322661
Cell000152	disease	Disease	FPI	0.834717537060544
Cell000153	disease	Disease	FPI	0.832010364890997
Cell000154	disease	Disease	FPI	0.986103169381478
Cell000155	disease	Disease	FPI	0.762080124478662
Cell000156	disease	Disease	FPI	0.904003302042679
Cell000157	disease	Disease	FPI	0.778601608880255
Cell000158	disease	Disease	FPI	0.7582086404237
Cell000159	disease	Disease	FPI	0.830279402623175
Cell000160	disease	Disease	FPI	0.88699929603027
Cell000161	disease	Disease	FPI	0.908133695516632
Cell000162	disease	Disease	FPI	0.978428150753869
Cell000163	disease	Disease	FPI	0.873121796163556
Cell000164	disease	Disease	FPI	0.934727323647934
Cell000165	disease	Disease	FPI	0.812456326419095
Cell000166	disease	Disease	FPI	0.959880234167288
Cell000167	disease	Disease	FPI	0.767757522769729
Cell000168	disease	Disease	FPI	0.910818368448963
Cell000169	disease	Disease	FPI	0.935650749735049
Cell000170	disease	Disease	FPI	0.957254154641021
Cell000171	disease	Disease	FPI	1.0306955654208
Cell000172	disease	Disease	FPI	0.949460342494393
Cell000173	disease	Disease	FPI	0.839977879819468
Cell000174	disease	Disease	FPI	0.921431968132361
Cell000175	disease	Disease	FPI	0.818873356585544
Cell000176	disease	Disease	FPI	0.91620579710621
Cell000177	disease	Disease	FPI	0.774002138805534
Cell000178	disease	Disease	FPI	0.757833533815683
Cell000179	disease	Disease	FPI	0.93413117850695
Cell000180	disease	Disease	FPI	0.850985661680655
Cell000001	normal	Normal	Entropy	0.583060658395498
Cell000002	normal	Normal	Entropy	0.652156677099237
Cell000003	normal	Normal	Entropy	0.447184834957919
Cell000004	normal	Normal	Entropy	0.656940502430941
Cell000005	normal	Normal	Entropy	0.456456839559121
Cell000006	normal	Normal	Entropy	0.72840216784251
Cell000007	normal	Normal	Entropy	0.443681874130641
Cell000008	normal	Normal	Entropy	0.498783801264622
Cell000009	normal	Normal	Entropy	0.394262653117886
Cell000010	normal	Normal	Entropy	0.545085546607377
Cell000011	normal	Normal	Entropy	0.726910908224562
Cell000012	normal	Normal	Entropy	0.415556300358048
Cell000013	normal	Normal	Entropy	0.608063433917889
Cell000014	normal	Normal	Entropy	0.489155596169371
Cell000015	normal	Normal	Entropy	0.393931500896527
Cell000016	normal	Normal	Entropy	0.730615966877849
Cell000017	normal	Normal	Entropy	0.588508827251174
Cell000018	normal	Normal	Entropy	0.495685827774947
Cell000019	normal	Normal	Entropy	0.631225896646257
Cell000020	normal	Normal	Entropy	0.672364492541925
Cell000021	normal	Normal	Entropy	0.643770095206345
Cell000022	normal	Normal	Entropy	0.4315421476164
Cell000023	normal	Normal	Entropy	0.547090767870852
Cell000024	normal	Normal	Entropy	0.645517691074629
Cell000025	normal	Normal	Entropy	0.388565927790162
Cell000026	normal	Normal	Entropy	0.393856029856071
Cell000027	normal	Normal	Entropy	0.419703841009564
Cell000028	normal	Normal	Entropy	0.461972461863771
Cell000029	normal	Normal	Entropy	0.775832994985683
Cell000030	normal	Normal	Entropy	0.617657328843968
Cell000031	disease	Disease	Entropy	0.893398300163128
Cell000032	disease	Disease	Entropy	0.832563727321251
Cell000033	disease	Disease	Entropy	0.798471000279947
Cell000034	disease	Disease	Entropy	0.828755012986691
Cell000035	disease	Disease	Entropy	0.817647945686114
Cell000036	disease	Disease	Entropy	0.867779247725126
Cell000037	disease	Disease	Entropy	0.832383460917172
Cell000038	disease	Disease	Entropy	0.841235395834828
Cell000039	disease	Disease	Entropy	0.810207448084443
Cell000040	disease	Disease	Entropy	0.852630547085438
Cell000041	disease	Disease	Entropy	0.8058913008843
Cell000042	disease	Disease	Entropy	0.795638639347113
Cell000043	disease	Disease	Entropy	0.787674920367027
Cell000044	disease	Disease	Entropy	0.768072864324977
Cell000045	disease	Disease	Entropy	0.804591732465668
Cell000046	disease	Disease	Entropy	0.794901772441466
Cell000047	disease	Disease	Entropy	0.68147014698897
Cell000048	disease	Disease	Entropy	0.747548250874203
Cell000049	disease	Disease	Entropy	0.832226883040304
Cell000050	disease	Disease	Entropy	0.730615966877849
Cell000051	disease	Disease	Entropy	0.832303655658175
Cell000052	disease	Disease	Entropy	0.820892947168928
Cell000053	disease	Disease	Entropy	0.762626180714091
Cell000054	disease	Disease	Entropy	0.766810795178204
Cell000055	disease	Disease	Entropy	0.821566438231133
Cell000056	disease	Disease	Entropy	0.745518586033596
Cell000057	disease	Disease	Entropy	0.82973451882643
Cell000058	disease	Disease	Entropy	0.80589503249972
Cell000059	disease	Disease	Entropy	0.830547498301703
Cell000060	disease	Disease	Entropy	0.78645787731992
Cell000061	normal	Normal	Entropy	0.615259562423557
Cell000062	normal	Normal	Entropy	0.499798261539952
Cell000063	normal	Normal	Entropy	0.619049966888976
Cell000064	normal	Normal	Entropy	0.490601473675796
Cell000065	normal	Normal	Entropy	0.627002742763899
Cell000066	normal	Normal	Entropy	0.628751437546709
