cell_id	condition	condition_label	metric	value
potential	0.0318914006675086
Cell000168	disease	Disease	Transition
potential	0.081532503313775
Cell000169	disease	Disease	Transition
potential	0.0513943983701173
Cell000170	disease	Disease	Transition
potential	0.105454458315611
Cell000171	disease	Disease	Transition
potential	0.158206296246485
Cell000172	disease	Disease	Transition
potential	0.0994694531441829
Cell000173	disease	Disease	Transition
potential	0.0631330643839688
Cell000174	disease	Disease	Transition
potential	0.0837977368871189
Cell000175	disease	Disease	Transition
potential	0.0486360415671201
Cell000176	disease	Disease	Transition
potential	0.0830951268169363
Cell000177	disease	Disease	Transition
potential	0.0516625081186985
Cell000178	disease	Disease	Transition
potential	0.0471330081302442
Cell000179	disease	Disease	Transition
potential	0.092666408517349
Cell000180	disease	Disease	Transition
potential	0.0662263327588041
