dataset_id	n_transfer_cells	n_shared_genes	nb_objective	nb_loglik	z_convergence_rate	n_nonconverged_cells	median_max_weight	median_entropy
gse156326	5000	1179	1.27304014705908	-7504571.66691329	0.9544	228	0.491947941362569	1.18323437964341
gse181316	5000	1210	0.781217719543598	-4726367.20323877	0.9596	202	0.56977593870831	1.06747403477892
