state	gene	mean	sd	lower	upper
resident	Gene0001	3.14970248693732	1.61384909844609	0.522623853714759	4.63719651352028
resident	Gene0002	3.11878859067678	1.47587445578838	0.883454525928827	4.53018082060273
resident	Gene0003	3.6296821932303	0.643357598868436	2.7956897488109	4.50019307718023
resident	Gene0004	3.96008400662581	0.53019770425072	3.34027173585101	4.77404247307638
resident	Gene0005	3.63666475758715	0.776207511555509	2.46823540213029	4.30130759313609
resident	Gene0006	2.22844609237113	0.310056317288903	1.92932957560748	2.69681092123115
resident	Gene0007	0.755876490778222	0.480331337425535	0.230718986772415	1.51947638552326
resident	Gene0008	2.121657404899	0.945012557661496	0.753263322411011	3.37692730712898
resident	Gene0009	0.683901521874542	0.713267201514048	0.0867717620951168	1.76786216932001
resident	Gene0010	1.71849336630015	0.698496455502233	1.10736190383792	2.82013866861461
resident	Gene0011	0.251371370742106	0.119426735338916	0.0889309012650004	0.38570418939581
resident	Gene0012	2.60418206231049	1.22057337928292	0.778228956092918	3.95987955461995
resident	Gene0013	2.76301687058428	1.12571616770188	1.49911532640345	4.38669077962846
resident	Gene0014	0.738690062197821	0.684320961706304	0.198157998474176	1.84071606944275
resident	Gene0015	1.42674961586422	0.793984330145018	0.344023392444447	2.26034848738968
resident	Gene0016	0.871363055696776	1.15889437275767	0.0131622597519976	2.42721842187341
resident	Gene0017	0.481022663513193	0.503402209401259	0.0507701189393757	1.21526014418037
resident	Gene0018	1.88389686030905	1.11987534026726	0.597432267693896	3.00452958045928
resident	Gene0019	1.11581149045485	0.848527142924963	0.358879608826619	2.5011029841118
resident	Gene0020	1.31653167195343	0.75597774300388	0.144954659017169	2.07784270400641
resident	Gene0021	1.65124437988623	1.12185468542924	0.220143773000021	3.15727625607294
resident	Gene0022	1.02590372682546	0.861837138112842	0.464390937395472	2.52434186487484
resident	Gene0023	1.0913494131834	0.822210193503633	0.266827218871038	1.97614935310499
resident	Gene0024	1.56834503114749	1.23272708661301	0.694267490122961	3.29383615854162
resident	Gene0025	1.07544100408744	0.811702387282107	0.244963858990447	2.21187140316049
resident	Gene0026	1.60353321904034	0.696453181901074	0.691611241999136	2.47112786807335
resident	Gene0027	1.1383444186364	1.43378392691325	0.213570560332613	3.62399174458806
resident	Gene0028	1.10488138677436	0.915561606510684	0.075344662066757	2.05009243027133
resident	Gene0029	2.19815390218301	0.837191031859186	1.00217114585106	3.25821667699803
resident	Gene0030	1.50018495385332	0.779009161821041	0.605040503347658	2.48729842583496
resident	Gene0031	2.31747559038275	1.36486731203753	0.527488237108975	3.61199166235444
resident	Gene0032	0.783446612186587	0.462711882745702	0.151557280318545	1.42639256081889
resident	Gene0033	1.49243267762959	0.793785018141455	0.777332097455621	2.67454785484466
resident	Gene0034	1.49197396017159	0.887010061739667	0.253378004963384	2.56106722968732
resident	Gene0035	1.72934977294156	0.866193837270736	0.489237075331664	2.53735996570863
resident	Gene0036	0.637646048804688	0.652559445086532	0.012568028201863	1.42558021547684
resident	Gene0037	1.82155989003777	1.21156166708661	0.955107783253691	3.90365426368465
resident	Gene0038	0.84525575261528	0.541538541204547	0.245702433891025	1.54343425783174
resident	Gene0039	1.43594325451397	0.631737247606726	0.505737418303549	2.19825252466236
resident	Gene0040	1.21097840010302	1.41896998321417	0.123166764699512	3.53831078745509
resident	Gene0041	1.31668503220592	0.797751297587814	0.328792428802378	2.36666371936726
resident	Gene0042	0.823326494347755	0.66365421832288	0.217775296646821	1.92197957947954
resident	Gene0043	1.11901707343633	0.814530404055681	0.370857655062902	2.39688216359789
resident	Gene0044	1.06292661253255	0.937542548385052	0.00404321767467685	2.16181106632901
resident	Gene0045	0.63663259204095	0.541075176298968	0.138327302554121	1.39933838607301
resident	Gene0046	0.676830316745046	0.662562686487477	0.17006821778922	1.78303834262497
resident	Gene0047	1.29253085771687	0.987752543123451	0.122945762222979	2.43813329082493
resident	Gene0048	0.454665480111937	0.339513909177844	0.0499349008532072	0.921825540456738
resident	Gene0049	1.35107132998995	1.21793871115937	0.327393573612287	3.03057045344612
resident	Gene0050	1.04346027267055	0.852687725270223	0.0869545242904882	2.18189815686758
resident	Gene0051	1.55364900540374	0.888218155580494	0.361691638699236	2.60618082852907
resident	Gene0052	0.903550781721519	0.921728565124314	0.14325761391137	2.32032421087794
resident	Gene0053	1.79392517854262	1.47337419663475	0.235450374877604	4.01281188989364
resident	Gene0054	1.20060765263589	1.01794401586422	0.221503792900784	2.70351973165799
resident	Gene0055	1.49466856689534	0.904577931973164	0.402494725648162	2.69430858384476
resident	Gene0056	1.71128400143663	0.81593267854301	0.700143440749653	2.74878125713322
resident	Gene0057	1.36717556589727	0.692300415504655	0.27089407806286	2.1279980103014
resident	Gene0058	1.01442228476133	0.839218333155424	0.106019218257275	2.16947452262978
resident	Gene0059	2.07236520084264	0.930900414119312	0.991472076658315	3.52404150730816
resident	Gene0060	1.39566369174466	0.0943412176185446	1.27627199144333	1.51877280472606
resident	Gene0061	0.898378020325523	0.85800043373023	0.127044405203414	2.2395378604485
resident	Gene0062	0.870425845093993	0.51766053599337	0.149302920211258	1.53404449916126
resident	Gene0063	1.52119296184944	1.06555514651966	0.352920542993182	3.02168092139119
resident	Gene0064	1.13689242971647	0.62546182516476	0.576089491530923	2.18761936801497
resident	Gene0065	1.02737739632794	0.577125919880061	0.224628509841407	1.7884673789307
resident	Gene0066	1.62954088947643	0.685565148726307	0.551623995749732	2.25299397055705
resident	Gene0067	0.605392599500201	0.491261918240384	0.0298791225507567	1.11467251784432
resident	Gene0068	1.27569330780304	0.908127489786361	0.391907118045013	2.63643503254204
resident	Gene0069	1.73127003236365	0.559130546819312	1.00464713165972	2.46133420571997
resident	Gene0070	1.12504340249576	0.557266974730764	0.172138404242714	1.52606318063644
resident	Gene0071	0.823551502848593	0.612742918040798	0.26647898465328	1.8413171426223
resident	Gene0072	0.988102030969052	0.666739556452881	0.186956878908004	1.89788263853159
resident	Gene0073	1.23625478905606	0.463746091985127	0.733763211781758	1.90776325082764
resident	Gene0074	1.65324448200151	1.20920652244902	0.264315290561058	3.24073664742827
resident	Gene0075	1.44799747823761	0.53661784937835	0.814967473112898	2.17197071278276
resident	Gene0076	0.726370102062325	0.51737483191163	0.168865842231004	1.3887876234259
resident	Gene0077	1.99448028521621	0.812472396221789	0.998721197378359	2.99591655571273
resident	Gene0078	0.872211789602496	0.482052882539162	0.326727321738268	1.5922749526271
resident	Gene0079	1.33126943469872	1.22875081658038	0.199267202468097	3.25571651181432
resident	Gene0080	1.14349240686727	0.951664360169131	0.0651502448144913	2.55659387180738
resident	Gene0081	1.50931336063346	1.14643946038921	0.342311511238298	3.15163557389294
resident	Gene0082	2.74082705592862	1.00610195233789	1.46615677792199	4.20007947995317
resident	Gene0083	0.947205653391263	0.675493305528396	0.0943474418415843	1.52956862477352
resident	Gene0084	1.52497101408956	0.596799539621912	0.930559198473935	2.32560360960783
resident	Gene0085	0.598768546395797	0.153519044656587	0.331514222000328	0.669337262275282
resident	Gene0086	0.840807807311621	0.511939052012048	0.115275083980157	1.48896385781122
resident	Gene0087	1.00022590168652	0.726113488086399	0.443353668992635	2.24475763180449
resident	Gene0088	1.83342477985437	1.23908126036125	0.334151051807514	3.67046843649372
resident	Gene0089	1.12738182883286	0.784681144226782	0.120494570122861	1.87088330150946
resident	Gene0090	0.89101183820681	0.76130063139156	0.187688714197712	1.84583239741585
resident	Gene0091	0.785148621608128	0.700424730004272	0.175677952785532	1.90860982147342
resident	Gene0092	2.41783299631764	0.71584690771215	1.44759138011109	3.34081764545348
resident	Gene0093	2.00347769519166	1.33525337456683	0.412644987053397	3.50917308618232
resident	Gene0094	1.55578338137023	0.674225330726148	0.646352781906314	2.22370702451705
resident	Gene0095	0.548511959672717	0.474582678267494	0.124326036539888	1.33721364207433
resident	Gene0096	1.02063731602366	0.580349737858559	0.139989114552112	1.74822643910603
resident	Gene0097	0.824151494639099	0.93001286992968	0.119080426305731	2.42089910399164
