replicate	sample_id	state	composition
5	Donor002	myofibroblast	0.149779429197896
5	Donor002	ECM-remodeling	0.131959893427606
5	Donor002	antigen-presenting	0.179888297833505
5	Donor002	IFN-stress	0.107824582642212
5	Donor003	resident	0.0735320632538301
5	Donor003	inflammatory	0.208091679700379
5	Donor003	myofibroblast	0.182478930955782
5	Donor003	ECM-remodeling	0.256588952193063
5	Donor003	antigen-presenting	0.122835435102078
5	Donor003	IFN-stress	0.156472938794869
5	Donor004	resident	0.101821434994543
5	Donor004	inflammatory	0.25065412524
5	Donor004	myofibroblast	0.273994199047574
5	Donor004	ECM-remodeling	0.194349485675763
5	Donor004	antigen-presenting	0.066141539776022
5	Donor004	IFN-stress	0.113039215266096
