id	label	x	y	w	h
counts	Raw UMI counts	0.13	0.55	0.17	0.23
likelihood	NB likelihood
library-size offset	0.36	0.55	0.18	0.23
simplex	Latent simplex
state weights	0.59	0.55	0.18	0.23
outputs	Composition
Uncertainty
Transfer
Flow / FPI	0.84	0.55	0.19	0.28
study	Study / donor
adjustment	0.36	0.29	0.18	0.16
markers	Weak marker
orientation	0.59	0.29	0.18	0.16
