scenario	replicate	method	cell_id	true_entropy	pred_entropy	entropy_abs_error	scenario_label
continuous	2	marker_scoring	Cell000002	1.38035311697768	1.76990000446714	0.389546887489457	Continuous
rare_transition	1	marker_scoring	Cell000063	1.51812907846677	1.78034133511787	0.2622122566511	Rare
rare_transition	3	marker_scoring	Cell000044	0.977473148145708	1.65759077934297	0.68011763119726	Rare
continuous	3	marker_scoring	Cell000026	1.62069706915	1.72179827152952	0.101101202379523	Continuous
rare_transition	3	fibrodynmix_nb	Cell000103	1.35948806507314	1.32084799751278	0.0386400675603602	Rare
rare_transition	3	fibrodynmix_nb	Cell000035	1.41824803272345	1.66289336996964	0.244645337246193	Rare
rare_transition	1	marker_scoring	Cell000010	1.12134412158297	1.78077077444897	0.659426652866	Rare
rare_transition	3	fibrodynmix_nb	Cell000011	1.37295076106037	1.70964172771455	0.336690966654181	Rare
continuous	2	fibrodynmix_nb	Cell000094	1.61225832949406	1.46180036511727	0.150457964376793	Continuous
rare_transition	3	fibrodynmix_nb	Cell000016	0.923755439710279	1.70824181897499	0.784486379264709	Rare
rare_transition	2	fibrodynmix_nb	Cell000011	0.666163485674479	1.47112408671025	0.804960601035768	Rare
rare_transition	3	fibrodynmix_vi	Cell000050	1.1401873986047	1.60820517814615	0.468017779541452	Rare
continuous	1	fibrodynmix_vi	Cell000074	1.1142205042476	1.29866620282055	0.184445698572948	Continuous
continuous	3	marker_scoring	Cell000039	1.46325122849175	1.7745778357007	0.311326607208953	Continuous
continuous	3	fibrodynmix_nb	Cell000052	0.994952824727997	1.39993574912713	0.404982924399131	Continuous
rare_transition	1	fibrodynmix_vi	Cell000054	1.26413314149825	1.37370417647458	0.109571034976322	Rare
continuous	2	marker_scoring	Cell000003	1.18744091285421	1.76823044639642	0.580789533542208	Continuous
continuous	2	fibrodynmix_vi	Cell000096	1.5596956107028	1.65564856250879	0.0959529518059854	Continuous
continuous	3	marker_scoring	Cell000015	1.00220355067133	1.63385713205471	0.631653581383377	Continuous
rare_transition	3	marker_scoring	Cell000023	1.37300456318099	1.73730808146646	0.364303518285472	Rare
rare_transition	2	marker_scoring	Cell000092	1.54224642274349	1.75993532599087	0.217688903247376	Rare
continuous	1	fibrodynmix_vi	Cell000079	1.36625411741146	1.55406661078357	0.187812493372113	Continuous
rare_transition	2	fibrodynmix_vi	Cell000002	0.986736220654144	1.69064442695364	0.703908206299495	Rare
continuous	2	fibrodynmix_vi	Cell000101	1.59303311531262	1.65278877315469	0.0597556578420666	Continuous
continuous	3	fibrodynmix_nb	Cell000033	1.432159775454	1.51004229151589	0.0778825160618988	Continuous
rare_transition	1	fibrodynmix_nb	Cell000051	1.20004346832017	1.5328917636341	0.332848295313923	Rare
continuous	2	fibrodynmix_vi	Cell000069	1.6254937402558	1.5496418164972	0.0758519237586031	Continuous
rare_transition	1	fibrodynmix_nb	Cell000108	1.42075285477727	1.52886251888905	0.108109664111782	Rare
rare_transition	2	fibrodynmix_vi	Cell000014	0.916365579452057	1.55734199971161	0.640976420259552	Rare
rare_transition	3	fibrodynmix_vi	Cell000072	1.40556408725233	1.6750016885385	0.269437601286165	Rare
rare_transition	3	fibrodynmix_vi	Cell000017	1.34037378019045	1.32938317370141	0.0109906064890408	Rare
rare_transition	1	marker_scoring	Cell000045	0.88508111470836	1.75322146949099	0.86814035478263	Rare
continuous	1	fibrodynmix_vi	Cell000097	1.56580899751494	1.62031718631813	0.0545081888031917	Continuous
continuous	2	fibrodynmix_vi	Cell000005	1.32317805404358	1.68520861727636	0.362030563232782	Continuous
continuous	3	marker_scoring	Cell000046	1.29145527494319	1.6542915011261	0.362836226182913	Continuous
rare_transition	2	marker_scoring	Cell000082	1.06031625082171	1.57906098672802	0.518744735906306	Rare
rare_transition	3	fibrodynmix_nb	Cell000008	1.09396239303792	1.57549460596868	0.481532212930756	Rare
rare_transition	3	marker_scoring	Cell000077	1.42385938934416	1.7533042135637	0.32944482421954	Rare
continuous	2	fibrodynmix_nb	Cell000080	1.33566509725815	1.43445618536255	0.0987910881043952	Continuous
continuous	3	fibrodynmix_vi	Cell000038	1.26373200028507	1.49924572843569	0.235513728150625	Continuous
continuous	1	fibrodynmix_nb	Cell000031	1.58133614634701	1.64509213429419	0.0637559879471759	Continuous
continuous	3	marker_scoring	Cell000074	1.44035419554293	1.74587523200632	0.305521036463393	Continuous
continuous	2	marker_scoring	Cell000052	0.878415125903707	1.74935719919733	0.870942073293623	Continuous
rare_transition	1	fibrodynmix_vi	Cell000094	1.49844861643709	1.29045540252788	0.207993213909208	Rare
rare_transition	2	fibrodynmix_nb	Cell000055	1.51003124236076	1.46190947175742	0.0481217706033403	Rare
rare_transition	3	fibrodynmix_nb	Cell000073	0.85256819278464	1.7450134550569	0.892445262272255	Rare
continuous	2	fibrodynmix_vi	Cell000083	1.27187340963404	1.72187183687011	0.449998427236065	Continuous
continuous	3	fibrodynmix_vi	Cell000022	1.63711735820797	1.76008169774296	0.122964339534989	Continuous
continuous	2	marker_scoring	Cell000079	0.939341046015002	1.72638169068803	0.787040644673027	Continuous
continuous	1	marker_scoring	Cell000071	1.70129169235725	1.72212885086213	0.020837158504883	Continuous
continuous	1	fibrodynmix_nb	Cell000105	1.60854645298963	1.57702478337164	0.0315216696179825	Continuous
rare_transition	2	fibrodynmix_vi	Cell000038	0.818896914185933	1.57993935772117	0.76104244353524	Rare
rare_transition	1	fibrodynmix_nb	Cell000071	1.50784287122279	1.57050248039141	0.0626596091686158	Rare
continuous	3	fibrodynmix_vi	Cell000073	1.53424940917339	1.5320711661413	0.00217824303208558	Continuous
continuous	2	marker_scoring	Cell000099	1.6718797773126	1.73623535055453	0.0643555732419288	Continuous
continuous	2	fibrodynmix_nb	Cell000090	1.50101834719523	1.76944753873987	0.268429191544639	Continuous
rare_transition	1	marker_scoring	Cell000001	0.923711415100213	1.73080581096449	0.807094395864282	Rare
rare_transition	3	fibrodynmix_vi	Cell000096	1.42860804986974	1.57732386947242	0.148715819602679	Rare
rare_transition	2	fibrodynmix_nb	Cell000094	1.39567851750262	1.67891280437253	0.283234286869909	Rare
rare_transition	1	marker_scoring	Cell000043	0.967048980058681	1.7458792057294	0.778830225670721	Rare
rare_transition	2	marker_scoring	Cell000007	1.17363701965549	1.7459206803064	0.572283660650908	Rare
continuous	2	marker_scoring	Cell000029	1.50989333431383	1.77074740029523	0.260854065981403	Continuous
rare_transition	2	marker_scoring	Cell000070	1.42354347291228	1.74191615191251	0.318372679000235	Rare
continuous	2	fibrodynmix_vi	Cell000043	0.969624710071112	1.55238121729593	0.582756507224815	Continuous
continuous	2	marker_scoring	Cell000018	1.03107133065826	1.72518348304506	0.694112152386794	Continuous
continuous	1	fibrodynmix_nb	Cell000055	1.64185404201173	1.76573774021669	0.123883698204962	Continuous
continuous	3	fibrodynmix_nb	Cell000080	1.36936203572235	1.63514878908138	0.265786753359029	Continuous
rare_transition	1	fibrodynmix_vi	Cell000012	1.09736710654251	1.523949657821	0.42658255127849	Rare
continuous	2	marker_scoring	Cell000101	1.59303311531262	1.76122326665039	0.16819015133777	Continuous
rare_transition	1	fibrodynmix_nb	Cell000020	1.3090880770226	1.46564141592075	0.156553338898152	Rare
rare_transition	2	fibrodynmix_nb	Cell000005	0.851123693774898	1.53285417272383	0.681730478948937	Rare
continuous	1	marker_scoring	Cell000055	1.64185404201173	1.75547393072152	0.113619888709787	Continuous
rare_transition	3	fibrodynmix_vi	Cell000082	1.3090880770226	1.74361502469047	0.434526947667877	Rare
continuous	2	marker_scoring	Cell000058	1.56752699250817	1.75014371013108	0.182616717622901	Continuous
rare_transition	3	fibrodynmix_nb	Cell000087	0.908747507869954	1.50560984024627	0.596862332376315	Rare
continuous	2	fibrodynmix_vi	Cell000050	1.37716177511545	1.68528259649768	0.30812082138223	Continuous
rare_transition	3	fibrodynmix_vi	Cell000024	1.47536863530828	1.50286406033272	0.0274954250244333	Rare
rare_transition	2	fibrodynmix_nb	Cell000033	1.46921931439247	1.69509048866411	0.225871174271641	Rare
continuous	3	fibrodynmix_nb	Cell000012	1.37805338597794	1.57799021306247	0.199936827084532	Continuous
continuous	3	fibrodynmix_nb	Cell000079	1.45022596333965	1.67906816039253	0.228842197052881	Continuous
continuous	2	fibrodynmix_nb	Cell000059	1.51948782941877	1.56458998499798	0.0451021555792102	Continuous
rare_transition	2	fibrodynmix_vi	Cell000091	1.39439418247978	1.64650836120528	0.252114178725493	Rare
rare_transition	1	fibrodynmix_vi	Cell000073	1.12375913279874	1.66556426497258	0.541805132173832	Rare
continuous	1	fibrodynmix_vi	Cell000070	1.56145690809099	1.64939712883269	0.0879402207417004	Continuous
continuous	3	marker_scoring	Cell000063	1.6139583310303	1.75187951533968	0.137921184309383	Continuous
rare_transition	2	fibrodynmix_vi	Cell000065	1.43419260327228	1.46857884064136	0.0343862373690837	Rare
continuous	1	marker_scoring	Cell000092	1.56599078264678	1.74381267296275	0.177821890315972	Continuous
rare_transition	2	marker_scoring	Cell000024	1.4502848304796	1.75297711128458	0.302692280804979	Rare
continuous	3	marker_scoring	Cell000055	1.55702245697147	1.77348378720993	0.216461330238462	Continuous
continuous	3	marker_scoring	Cell000072	1.52648392942977	1.76298514264347	0.236501213213695	Continuous
rare_transition	2	fibrodynmix_nb	Cell000084	0.942231794133187	1.5867801241034	0.644548329970218	Rare
continuous	3	marker_scoring	Cell000016	1.22408561269188	1.66987539744772	0.445789784755842	Continuous
continuous	2	marker_scoring	Cell000005	1.32317805404358	1.77731264273704	0.454134588693462	Continuous
continuous	2	fibrodynmix_vi	Cell000028	1.54516359438005	1.68778811585703	0.142624521476986	Continuous
