scenario	replicate	disease	state	fraction
rare_transition	1	normal	ECM-remodeling	0.0444976539551897
rare_transition	1	normal	antigen-presenting	0.0474657773699548
rare_transition	1	normal	IFN-stress	0.0508763590828878
rare_transition	2	disease	resident	0.140527515200051
rare_transition	2	disease	inflammatory	0.271500246107301
rare_transition	2	disease	myofibroblast	0.341823907794015
rare_transition	2	disease	ECM-remodeling	0.19480282387948
rare_transition	2	disease	antigen-presenting	0.0252471989664616
rare_transition	2	disease	IFN-stress	0.0260983080526923
rare_transition	2	normal	resident	0.717385102741214
rare_transition	2	normal	inflammatory	0.0796869792384084
rare_transition	2	normal	myofibroblast	0.0685437865145985
rare_transition	2	normal	ECM-remodeling	0.0454164164165442
rare_transition	2	normal	antigen-presenting	0.0438228918496155
rare_transition	2	normal	IFN-stress	0.045144823239619
rare_transition	3	disease	resident	0.141484787975094
rare_transition	3	disease	inflammatory	0.290473527174616
rare_transition	3	disease	myofibroblast	0.328263866138463
rare_transition	3	disease	ECM-remodeling	0.19142827320037
rare_transition	3	disease	antigen-presenting	0.0237335024633044
rare_transition	3	disease	IFN-stress	0.0246160430481523
rare_transition	3	normal	resident	0.668804203070644
rare_transition	3	normal	inflammatory	0.083636606961857
rare_transition	3	normal	myofibroblast	0.0804049652730181
rare_transition	3	normal	ECM-remodeling	0.0551992229910619
rare_transition	3	normal	antigen-presenting	0.0557940281474414
rare_transition	3	normal	IFN-stress	0.0561609735559776
