scenario	replicate	method	cell_id	is_transition	entropy_score	auroc	auprc	transition_class
rare_transition	1	marker_scoring	Cell000001	FALSE	1.73080581096449	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000002	FALSE	1.73891532463449	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000003	FALSE	1.68742008415753	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000004	FALSE	1.72098801116039	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000005	FALSE	1.76134268087557	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000006	FALSE	1.77056442922454	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000007	FALSE	1.72900558503296	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000008	FALSE	1.76415197396083	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000009	FALSE	1.77726292846604	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000010	FALSE	1.78077077444897	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000011	FALSE	1.72374160756036	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000012	FALSE	1.71765614109364	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000013	TRUE	1.7696484401094	0.781045751633987	0.166887552916965	Rare transition
rare_transition	1	marker_scoring	Cell000014	FALSE	1.74637426162512	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000015	FALSE	1.74983800883623	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000016	FALSE	1.75245955252068	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000017	FALSE	1.78187795184772	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000018	FALSE	1.77365898191362	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000019	FALSE	1.76879543619111	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000020	TRUE	1.75376386427518	0.781045751633987	0.166887552916965	Rare transition
rare_transition	1	marker_scoring	Cell000021	FALSE	1.69236188168032	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000022	FALSE	1.71382148549536	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000023	FALSE	1.70382136642673	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000024	FALSE	1.7226304388849	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000025	FALSE	1.72265730112114	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000026	FALSE	1.77880247720454	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000027	FALSE	1.76432974133523	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000028	FALSE	1.7447474665643	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000029	FALSE	1.72222345320858	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000030	FALSE	1.70222463578296	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000031	FALSE	1.72847530668654	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000032	FALSE	1.73538601025088	0.781045751633987	0.166887552916965	Other cells
rare_transition	1	marker_scoring	Cell000033	FALSE	1.70276100812276	0.781045751633987	0.166887552916965	Other cells
