	resident	inflammatory	myofibroblast	ECM-remodeling	antigen-presenting	IFN-stress
resident	0.132861045617085	0.190843715436276	0.247190095819785	0.130444720836214	1.17622142983734e-16	1.17759020688781e-16
inflammatory	2.4943692027509e-33	0.0726708904683148	2.09003669022791e-17	1.10293356086965e-17	9.94516360390364e-33	9.95673685989008e-33
myofibroblast	1.9168733634498e-33	1.24003343179597e-17	0.0723346478387683	8.47582612130654e-18	7.64266139368987e-33	7.65155521185613e-33
ECM-remodeling	2.56512157466152e-33	1.65938792298562e-17	2.1493202369662e-17	0.0510806416658902	1.02272565327449e-32	1.02391580622326e-32
antigen-presenting	1.37978432646141e-18	0.00892588277402422	0.0115612390648721	0.00610098312125524	0.0247754857464933	5.50766480231792e-18
IFN-stress	1.37490415002021e-18	0.00889431270760487	0.0115203479738273	0.00607940447774875	5.48180545869357e-18	0.0247165864518405
