	resident	inflammatory	myofibroblast	ECM-remodeling	antigen-presenting	IFN-stress
resident	0	25.1559558330164	24.5111678496711	24.5619376907558	25.2241278398058	25.5021770772472
inflammatory	25.1559558330164	0	24.7352192346296	24.2314684488137	24.4633159754732	24.6438409171617
myofibroblast	24.5111678496711	24.7352192346296	0	25.1509871749606	25.267283141174	24.6448808023058
ECM-remodeling	24.5619376907558	24.2314684488137	25.1509871749606	0	25.1244806324492	24.7725562722525
antigen-presenting	25.2241278398058	24.4633159754732	25.267283141174	25.1244806324492	0	24.7516066343755
IFN-stress	25.5021770772472	24.6438409171617	24.6448808023058	24.7725562722525	24.7516066343755	0
