iteration	posterior_scale	expected_loglik	log_prior	entropy	elbo
1	0.125	-3444.10938782237	-413.69498081365	-105.680481356026	-3963.48484999205
1	0.25	-3469.1652380516	-413.69498081365	5.22306753356513	-3877.63715133168
1	0.375	-3508.13553944277	-413.69498081365	70.0974848308715	-3851.73303542555
2	0.1875	-3454.98686830863	-413.69498081365	-40.8060640587199	-3909.487913181
2	0.375	-3515.62238397493	-413.69498081365	70.0974848308715	-3859.21987995771
2	0.5625	-3604.79507839119	-413.69498081365	134.971902128178	-3883.51815707666
3	0.1875	-3457.56901350003	-413.69498081365	-40.8060640587199	-3912.0700583724
3	0.375	-3518.36080808832	-413.69498081365	70.0974848308715	-3861.9583040711
3	0.5625	-3593.31024472237	-413.69498081365	134.971902128178	-3872.03332340784
