dataset_id	study_id	donor_id	condition	organism	tissue	state	composition	mean_entropy	sensitivity_mode	seed
gse246215_gc_raw_sample_seed246216	GSE246215_GC_raw_sample	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	resident	0.195847855114083	1.13181256395569	raw_sample	246216
gse246215_gc_raw_sample_seed246216	GSE246215_GC_raw_sample	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	inflammatory	0.0739345938064879	1.13181256395569	raw_sample	246216
gse246215_gc_raw_sample_seed246216	GSE246215_GC_raw_sample	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	myofibroblast	0.219148715018009	1.13181256395569	raw_sample	246216
gse246215_gc_raw_sample_seed246216	GSE246215_GC_raw_sample	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	ECM-remodeling	0.317949355389409	1.13181256395569	raw_sample	246216
gse246215_gc_raw_sample_seed246216	GSE246215_GC_raw_sample	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	antigen-presenting	0.121670132574181	1.13181256395569	raw_sample	246216
gse246215_gc_raw_sample_seed246216	GSE246215_GC_raw_sample	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	IFN-stress	0.0714493480978301	1.13181256395569	raw_sample	246216
gse246215_hcc_raw_sample_seed246216	GSE246215_HCC_raw_sample	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	resident	0.0198794520300739	0.236857375779567	raw_sample	246216
gse246215_hcc_raw_sample_seed246216	GSE246215_HCC_raw_sample	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	inflammatory	0.0125188429469051	0.236857375779567	raw_sample	246216
gse246215_hcc_raw_sample_seed246216	GSE246215_HCC_raw_sample	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	myofibroblast	0.933178307410222	0.236857375779567	raw_sample	246216
gse246215_hcc_raw_sample_seed246216	GSE246215_HCC_raw_sample	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	ECM-remodeling	0.0146637071033359	0.236857375779567	raw_sample	246216
gse246215_hcc_raw_sample_seed246216	GSE246215_HCC_raw_sample	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	antigen-presenting	0.0086431759045558	0.236857375779567	raw_sample	246216
gse246215_hcc_raw_sample_seed246216	GSE246215_HCC_raw_sample	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	IFN-stress	0.0111165146049076	0.236857375779567	raw_sample	246216
gse246215_nsclc_raw_sample_seed246216	GSE246215_NSCLC_raw_sample	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	resident	0.0570983875560138	0.687487105864235	raw_sample	246216
gse246215_nsclc_raw_sample_seed246216	GSE246215_NSCLC_raw_sample	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	inflammatory	0.0969114529983348	0.687487105864235	raw_sample	246216
gse246215_nsclc_raw_sample_seed246216	GSE246215_NSCLC_raw_sample	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	myofibroblast	0.113534932311983	0.687487105864235	raw_sample	246216
gse246215_nsclc_raw_sample_seed246216	GSE246215_NSCLC_raw_sample	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	ECM-remodeling	0.672422928137201	0.687487105864235	raw_sample	246216
gse246215_nsclc_raw_sample_seed246216	GSE246215_NSCLC_raw_sample	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	antigen-presenting	0.00841408022363221	0.687487105864235	raw_sample	246216
