state	gene	rank	spearman_rho	dataset
myofibroblast	RPL37A	25	0.571980530082374	GSE163973
myofibroblast	RPS27A	26	0.571436453160746	GSE163973
myofibroblast	RPLP1	27	0.571035859256856	GSE163973
myofibroblast	RPS7	28	0.569694287687303	GSE163973
myofibroblast	RPL9	29	0.567982609125241	GSE163973
myofibroblast	RPL18A	30	0.563872321872427	GSE163973
myofibroblast	RPS9	31	0.563250752085361	GSE163973
myofibroblast	RPL6	32	0.562984294398063	GSE163973
myofibroblast	RPL14	33	0.559481092338468	GSE163973
myofibroblast	NACA	34	0.555202661349781	GSE163973
myofibroblast	RPL35A	35	0.552035614394005	GSE163973
myofibroblast	RPS12	36	0.548701593806224	GSE163973
myofibroblast	RPL22	37	0.54792820683652	GSE163973
myofibroblast	RPS16	38	0.547716004714121	GSE163973
myofibroblast	RPL10	39	0.542158832394119	GSE163973
myofibroblast	RPL37	40	0.540013041542879	GSE163973
ECM-remodeling	COL3A1	1	0.887711995422682	GSE163973
ECM-remodeling	COL1A1	2	0.879065748298263	GSE163973
ECM-remodeling	SPARC	3	0.86978134583243	GSE163973
ECM-remodeling	COL1A2	4	0.840686022194065	GSE163973
ECM-remodeling	COL5A1	5	0.779883227485822	GSE163973
ECM-remodeling	COL5A2	6	0.778628995060777	GSE163973
ECM-remodeling	CTHRC1	7	0.76407663233513	GSE163973
ECM-remodeling	COL6A1	8	0.69793693114373	GSE163973
ECM-remodeling	SERF2	9	0.684739922385743	GSE163973
ECM-remodeling	CERCAM	10	0.682125912613631	GSE163973
ECM-remodeling	COL14A1	11	0.671058312250882	GSE163973
ECM-remodeling	RCN3	12	0.659911870017683	GSE163973
ECM-remodeling	HTRA1	13	0.655125275291545	GSE163973
ECM-remodeling	LGALS1	14	0.649489427289903	GSE163973
ECM-remodeling	AEBP1	15	0.638912342214884	GSE163973
ECM-remodeling	SERPINH1	16	0.633731387139373	GSE163973
ECM-remodeling	MMP2	17	0.630788613538027	GSE163973
ECM-remodeling	PPIC	18	0.62994085039142	GSE163973
ECM-remodeling	C1QTNF6	19	0.627555456880546	GSE163973
ECM-remodeling	POSTN	20	0.627382700331365	GSE163973
ECM-remodeling	THBS2	21	0.623507801324069	GSE163973
ECM-remodeling	COL6A2	22	0.614717603471219	GSE163973
ECM-remodeling	ASPN	23	0.608569960099533	GSE163973
ECM-remodeling	ADAM12	24	0.606320587425543	GSE163973
ECM-remodeling	COPZ2	25	0.606161895232286	GSE163973
ECM-remodeling	COMP	26	0.598237954048223	GSE163973
ECM-remodeling	SFRP2	27	0.597606288829718	GSE163973
ECM-remodeling	PPIB	28	0.596518823145749	GSE163973
ECM-remodeling	MMP23B	29	0.592798664249337	GSE163973
ECM-remodeling	MDK	30	0.589634956703936	GSE163973
ECM-remodeling	PCOLCE	31	0.58586437343891	GSE163973
ECM-remodeling	MFAP2	32	0.582662451837233	GSE163973
ECM-remodeling	PYCR1	33	0.581575463348059	GSE163973
ECM-remodeling	KDELR2	34	0.578573192169368	GSE163973
ECM-remodeling	PRDX4	35	0.576069127086675	GSE163973
ECM-remodeling	P4HA2	36	0.575535572837387	GSE163973
ECM-remodeling	LRRC15	37	0.574888088507965	GSE163973
ECM-remodeling	LUM	38	0.561732828642673	GSE163973
ECM-remodeling	NREP	39	0.557308009514683	GSE163973
ECM-remodeling	SEC61G	40	0.556308816219248	GSE163973
antigen-presenting	RPS27A	1	0.691844683505384	GSE163973
antigen-presenting	RPS4X	2	0.678997421341542	GSE163973
antigen-presenting	RPL35A	3	0.67771169814711	GSE163973
antigen-presenting	RPS27	4	0.665470530104323	GSE163973
antigen-presenting	RPS23	5	0.660808625505725	GSE163973
antigen-presenting	RPL11	6	0.653853439238973	GSE163973
antigen-presenting	RPS8	7	0.652615699215713	GSE163973
antigen-presenting	RPS3A	8	0.64074730136325	GSE163973
antigen-presenting	RPL26	9	0.637078044962206	GSE163973
antigen-presenting	RPL13	10	0.63603063886163	GSE163973
antigen-presenting	RPL32	11	0.635734247313057	GSE163973
antigen-presenting	RPL10	12	0.633904127501135	GSE163973
antigen-presenting	RPL18	13	0.633358993736678	GSE163973
antigen-presenting	RPL9	14	0.630510820561964	GSE163973
antigen-presenting	RPL30	15	0.629939191974496	GSE163973
antigen-presenting	RPS14	16	0.624970826471074	GSE163973
antigen-presenting	RPS24	17	0.61914690580186	GSE163973
antigen-presenting	RPS15A	18	0.613528610699789	GSE163973
antigen-presenting	RPL10A	19	0.61310524650068	GSE163973
antigen-presenting	RPS25	20	0.611631333765335	GSE163973
antigen-presenting	RPL29	21	0.608083946014618	GSE163973
antigen-presenting	RPL5	22	0.607557618032306	GSE163973
antigen-presenting	RPL12	23	0.603540962390436	GSE163973
antigen-presenting	RPL24	24	0.60318011672193	GSE163973
antigen-presenting	FAU	25	0.601076928737845	GSE163973
antigen-presenting	RPS13	26	0.598208240642546	GSE163973
antigen-presenting	RPS16	27	0.591611956275653	GSE163973
antigen-presenting	RPS18	28	0.585001018952517	GSE163973
antigen-presenting	RPL22	29	0.583081591475693	GSE163973
antigen-presenting	RPL23A	30	0.581805731752473	GSE163973
antigen-presenting	RPL37	31	0.581238846514944	GSE163973
antigen-presenting	RPL34	32	0.574737067375036	GSE163973
antigen-presenting	NACA	33	0.573098495862975	GSE163973
antigen-presenting	RPL19	34	0.571922029332906	GSE163973
antigen-presenting	RPL21	35	0.568026061955887	GSE163973
antigen-presenting	RPS15	36	0.55319636313887	GSE163973
antigen-presenting	RPS10	37	0.551711595607972	GSE163973
antigen-presenting	RPS6	38	0.546845412930049	GSE163973
antigen-presenting	RPL41	39	0.545304168259235	GSE163973
antigen-presenting	RPL27A	40	0.539209527101534	GSE163973
IFN-stress	HSPA1A	1	0.637723658014249	GSE163973
IFN-stress	HSPA1B	2	0.609269785769705	GSE163973
IFN-stress	HSP90AA1	3	0.595065465926841	GSE163973
IFN-stress	H3F3B	4	0.556292983727005	GSE163973
IFN-stress	DNAJB1	5	0.52754038099379	GSE163973
IFN-stress	SRSF3	6	0.502752490316537	GSE163973
IFN-stress	HSPB1	7	0.494318207422791	GSE163973
IFN-stress	GADD45B	8	0.487014809753431	GSE163973
IFN-stress	HSP90AB1	9	0.469243978105997	GSE163973
IFN-stress	JUN	10	0.457869933999558	GSE163973
IFN-stress	IER5L	11	0.45654210637437	GSE163973
IFN-stress	IER2	12	0.448417163068563	GSE163973
IFN-stress	MT-ND2	13	0.443149598026664	GSE163973
IFN-stress	SRSF7	14	0.441021167178236	GSE163973
IFN-stress	FOS	15	0.435484604697562	GSE163973
IFN-stress	ID1	16	0.416381833825409	GSE163973
IFN-stress	BRD2	17	0.415197145681421	GSE163973
IFN-stress	SPRY1	18	0.410233225309823	GSE163973
IFN-stress	C6orf48	19	0.406622160629963	GSE163973
IFN-stress	MALAT1	20	0.405778505643281	GSE163973
IFN-stress	HES1	21	0.39680794399955	GSE163973
IFN-stress	MT-ND1	22	0.389442535796218	GSE163973
IFN-stress	CYR61	23	0.388572708228764	GSE163973
IFN-stress	HSPA8	24	0.382404287303012	GSE163973
IFN-stress	SNHG8	25	0.378191219476773	GSE163973
IFN-stress	RSRP1	26	0.376600706814029	GSE163973
IFN-stress	BTG1	27	0.376374906309642	GSE163973
IFN-stress	INTS6	28	0.367493654661608	GSE163973
IFN-stress	JUNB	29	0.365979205569026	GSE163973
IFN-stress	TUBB4B	30	0.361941887376725	GSE163973
IFN-stress	ZFP36L2	31	0.356770726419661	GSE163973
IFN-stress	MT-CYB	32	0.356684039879965	GSE163973
IFN-stress	DNAJA1	33	0.356049964028998	GSE163973
IFN-stress	NACA	34	0.355729622184889	GSE163973
IFN-stress	MT-ATP6	35	0.354827922577346	GSE163973
IFN-stress	LTBP4	36	0.35136268539446	GSE163973
IFN-stress	RPL38	37	0.35043117344414	GSE163973
IFN-stress	RPS3A	38	0.349745687814739	GSE163973
IFN-stress	PTMA	39	0.3463186167344	GSE163973
IFN-stress	FUS	40	0.346157959358766	GSE163973
resident	COL6A5	1	0.277130035707061	GSE243716
resident	CCL19	2	0.241127577121708	GSE243716
resident	STMN2	3	0.238118094004072	GSE243716
resident	C3	4	0.230686920091686	GSE243716
resident	STEAP4	5	0.204509792466163	GSE243716
resident	CP	6	0.20134404941614	GSE243716
resident	CTSC	7	0.197403909560726	GSE243716
resident	SOCS3	8	0.18967613759762	GSE243716
resident	APOE	9	0.187944713225476	GSE243716
resident	PTGDS	10	0.185147702127009	GSE243716
resident	EGFL7	11	0.179292823291785	GSE243716
resident	SELENOP	12	0.178327177001521	GSE243716
resident	HES1	13	0.173555765677463	GSE243716
resident	ADAMDEC1	14	0.172298193155741	GSE243716
resident	TM4SF1	15	0.172049053188708	GSE243716
resident	EMCN	16	0.170754763906387	GSE243716
resident	CCL14	17	0.162038963813768	GSE243716
resident	TIMP1	18	0.155429952239539	GSE243716
resident	COL4A1	19	0.153581291511232	GSE243716
resident	KRT1	20	0.15110310596285	GSE243716
resident	COL15A1	21	0.149646800139196	GSE243716
resident	DEPP1	22	0.148891564930052	GSE243716
resident	VWF	23	0.146715757773839	GSE243716
resident	CLDN5	24	0.145443460338569	GSE243716
resident	PLVAP	25	0.14515410375243	GSE243716
resident	PI16	26	0.144823885563669	GSE243716
resident	SPRY1	27	0.140791553866801	GSE243716
resident	PECAM1	28	0.137655199316146	GSE243716
resident	GIMAP7	29	0.136991001089102	GSE243716
resident	CD34	30	0.136765610102739	GSE243716
resident	SOX18	31	0.132568924850642	GSE243716
resident	CD9	32	0.129856795630552	GSE243716
resident	KLF2	33	0.129397075117103	GSE243716
